Model,WordEmbedding,Precision,Recall,F1-Score
MultinomialNB,TFidf,0.8457047539616347,0.19351145038167938,0.31495573846870634
SVC,TFidf,0.3866359447004608,0.6404580152671756,0.48218390804597705
LogisticRegression,TFidf,0.8254931714719271,0.20763358778625954,0.3318084781945715
RandomForestClassifier,TFidf,0.9255172413793104,0.12805343511450382,0.22497904442581726
MultinomialNB,Hash,0.0,0.0,0.0
SVC,Hash,0.3681168108246981,0.4091861018562589,0.38756649535659543
LogisticRegression,Hash,0.687717859339758,0.15963826749167062,0.2591262023409433
RandomForestClassifier,Hash,0.872836719337848,0.05521180390290338,0.10385424593759793
MultinomialNB,Glove,0.0,0.0,0.0
SVC,Glove,0.34956032243021784,0.9990004759638268,0.5179016458163693
LogisticRegression,Glove,0.7448699516403084,0.2712517848643503,0.39768326297058726
RandomForestClassifier,Glove,0.7427162707306141,0.23660161827701096,0.35887809984478214
